topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,website,post_type
Movement,n_responses,greater,negligible,,,,,,,unity,questions
Movement,len_text,greater,negligible,,,,,,,unity,questions
Movement,is_answered,greater,negligible,,,,,,,unity,questions
Movement,is_resolved,greater,negligible,,,,,,,unity,questions
Movement,has_code,greater,small,0.5568902632413575,0.3869572548688981,-0.1699330083724594,1.0,0.0,-1.0,unity,questions
Game engines,n_responses,less,negligible,,,,,,,unity,questions
Game engines,len_text,less,negligible,,,,,,,unity,questions
Game engines,is_answered,less,negligible,,,,,,,unity,questions
Game engines,is_resolved,less,negligible,,,,,,,unity,questions
Game engines,has_code,less,negligible,,,,,,,unity,questions
Game objects,n_responses,greater,negligible,,,,,,,unity,questions
Game objects,len_text,greater,negligible,,,,,,,unity,questions
Game objects,is_answered,greater,negligible,,,,,,,unity,questions
Game objects,is_resolved,greater,negligible,,,,,,,unity,questions
Game objects,has_code,greater,small,0.5625394819962097,0.3849245518493306,-0.17761493014687912,1.0,0.0,-1.0,unity,questions
GUI,n_responses,greater,negligible,,,,,,,unity,questions
GUI,len_text,less,negligible,,,,,,,unity,questions
GUI,is_answered,greater,negligible,,,,,,,unity,questions
GUI,is_resolved,greater,negligible,,,,,,,unity,questions
GUI,has_code,greater,negligible,,,,,,,unity,questions
File management,n_responses,less,negligible,,,,,,,unity,questions
File management,len_text,less,negligible,,,,,,,unity,questions
File management,is_answered,less,negligible,,,,,,,unity,questions
File management,is_resolved,,,,,,,,,unity,questions
File management,has_code,less,negligible,,,,,,,unity,questions
Character animation,n_responses,less,negligible,,,,,,,unity,questions
Character animation,len_text,greater,negligible,,,,,,,unity,questions
Character animation,is_answered,less,negligible,,,,,,,unity,questions
Character animation,is_resolved,less,negligible,,,,,,,unity,questions
Character animation,has_code,less,negligible,,,,,,,unity,questions
Collisions,n_responses,greater,negligible,,,,,,,unity,questions
Collisions,len_text,greater,negligible,,,,,,,unity,questions
Collisions,is_answered,greater,negligible,,,,,,,unity,questions
Collisions,is_resolved,,,,,,,,,unity,questions
Collisions,has_code,greater,negligible,,,,,,,unity,questions
FX,n_responses,greater,negligible,,,,,,,unity,questions
FX,len_text,,,,,,,,,unity,questions
FX,is_answered,greater,negligible,,,,,,,unity,questions
FX,is_resolved,greater,negligible,,,,,,,unity,questions
FX,has_code,,,,,,,,,unity,questions
Bug reports,n_responses,,,,,,,,,unity,questions
Bug reports,len_text,less,negligible,,,,,,,unity,questions
Bug reports,is_answered,less,negligible,,,,,,,unity,questions
Bug reports,is_resolved,,,,,,,,,unity,questions
Bug reports,has_code,less,negligible,,,,,,,unity,questions
Game mechanics,n_responses,greater,negligible,,,,,,,unity,questions
Game mechanics,len_text,,,,,,,,,unity,questions
Game mechanics,is_answered,greater,negligible,,,,,,,unity,questions
Game mechanics,is_resolved,greater,negligible,,,,,,,unity,questions
